Date,Time,Open,High,Low,Close,Tick volume
2025.01.03,00:15:00,1.02574,1.02624,1.02499,1.02531,2740
2025.01.03,00:30:00,1.02531,1.02552,1.0241,1.02456,2673
2025.01.03,00:45:00,1.02456,1.02642,1.02429,1.02611,2206
2025.01.03,01:00:00,1.02611,1.02679,1.02557,1.02632,2131
2025.01.03,01:15:00,1.02632,1.02656,1.02565,1.02569,1692
2025.01.03,01:30:00,1.02568,1.02664,1.02513,1.02635,1449
2025.01.03,01:45:00,1.02637,1.02662,1.02587,1.02648,1457
2025.01.03,02:00:00,1.02651,1.02662,1.02612,1.02625,1116
2025.01.03,02:15:00,1.02625,1.02655,1.02601,1.02625,885
2025.01.03,02:30:00,1.02625,1.02625,1.02561,1.0261,653
2025.01.03,02:45:00,1.0261,1.02618,1.02557,1.02563,828
2025.01.03,03:00:00,1.02563,1.02592,1.02499,1.0251,642
2025.01.03,03:15:00,1.0251,1.02578,1.02492,1.02569,671
2025.01.03,03:30:00,1.02568,1.02595,1.02524,1.02528,639
2025.01.03,03:45:00,1.0253,1.02536,1.02477,1.0251,723
2025.01.03,04:00:00,1.02511,1.02566,1.02506,1.02547,671
2025.01.03,04:15:00,1.02546,1.02631,1.02544,1.02621,445
2025.01.03,04:30:00,1.02621,1.02645,1.02597,1.02619,376
2025.01.03,04:45:00,1.02619,1.0264,1.02613,1.02613,376
2025.01.03,05:00:00,1.02613,1.02655,1.02612,1.02632,246
2025.01.03,05:15:00,1.0263,1.02656,1.02624,1.0265,186
2025.01.03,05:30:00,1.02648,1.02677,1.0263,1.02666,211
2025.01.03,05:45:00,1.02666,1.02687,1.0264,1.0264,436
2025.01.03,06:00:00,1.0264,1.0264,1.02612,1.02628,124
2025.01.03,06:15:00,1.02628,1.02663,1.02628,1.02655,126
2025.01.03,06:30:00,1.02655,1.02661,1.02649,1.02651,1366
2025.01.03,06:45:00,1.02653,1.02666,1.02643,1.02651,247
2025.01.03,07:00:00,1.0265,1.0267,1.02646,1.02665,250
2025.01.03,07:15:00,1.02665,1.02672,1.02648,1.02662,206
2025.01.03,07:30:00,1.02662,1.02664,1.02649,1.02657,119
2025.01.03,07:45:00,1.02657,1.0268,1.02652,1.02678,156
2025.01.03,08:00:00,1.02679,1.02692,1.02663,1.02664,250
